Year,Name,Overview,Strengths,Weaknesses,Label
2025,Cam Ward,"Gunslinger with good size, a big arm and the mobility to help out his offensive line. Ward can read the full field and operates with average decision-making and processing quickness. Like a shortstop, he rips sidearm rockets that fit into tight windows on all three levels, but his delivery and mechanics cause inconsistencies with placement and accuracy. He is fairly consistent regardless of the coverage scheme he sees, but figuring out disguised coverage on the pro level will take time, and it is not a given he will develop that skill. He looks to strike it rich with aggressive, vertical throws; for better efficiency, he needs to learn to mine for gold with combo reads and rhythm throws. While he has the ability to move the sticks with his legs, he’s more of a pocket passer than a dual-threat quarterback. Pocket mobility helps him extend and make plays out of structure, but the longer he’s off-schedule, the spottier his decision-making can get. With a patient plan and a nurturing offensive coordinator who can accentuate his physical tools while regulating the feast-or-famine elements of his play, Ward could become a good NFL starter inside of his first contract.",Recognizes pre-snap pressure and can protect himself. Displays recognition for attacking holes in the coverage. Sudden release helps him thrive with quick game and seam throws. Can whip throws into tight windows from 25 yards away. Release quickness and velocity limit defender’s reaction time to the throw. Arm talent to make throws that others in this draft class cannot. Alters trajectory and touch for bucket throws. Mobility creates longer cover times and second-action opportunities. Able to read the front side and get to the back side with his progression. Bobs and weaves around the pocket and away from pressure points. Capable runner when the pocket breaks down but doesn’t bolt unnecessarily.,"Too willing to work out of structure and play hero ball. Struggled with Georgia Tech’s disguised coverages. Needs eye discipline to prevent coverage overlaps against zone. Inconsistent tying his feet with his eyes when scanning. Gets excited and cuts it loose before the route develops. Drop-down, sidearm release creates erratic placement. Seam throws become a security blanket when he’s uncomfortable. Unjustifiable interceptions from reckless cross-field throws. NFL QB-hunters will make him pay for reckless backward scrambles. Rears back and rips throws when touch and finesse is needed. Completed just 39% of his passes inside the red zone in 2024, per Pro Football Focus.",
2025,Shedeur Sanders,"Any perceptions that Sanders is a product of Heisman Trophy-winner Travis Hunter’s greatness are slowly dispelled once you hit the tape. He’s seen mixed results under an intensely bright spotlight, but there are no signs his confidence has ever wavered. Sanders possesses a baseline of poise, savvy and accuracy, traits that are integral in becoming an NFL starter. He’s slow-twitch with standard arm talent and a longer release, but he worked around those limitations with anticipation and accuracy. He plays with decent command from the pocket and finds his rhythm when working on-time and on-platform; that said, he will pass on profits and look for the big play too often. Average velocity and slower rip times mean tighter windows against faster athletes, so throwing off-platform or trying to do more than his arm talent allows is ill-advised. He’s tough and willing to take the hit to complete the throw once he’s locked into his target. Sanders is pocket mobile and finds clean alternate launch points, but he often creates pressure and sacks with undisciplined pocket drops. The tape says he has the necessary qualities to become a solid game manager if he can operate with better discipline and play to his strengths.",Plays with confidence and composure from the pocket. Keeps his eyes downfield as the pocket compresses. Shows off ability to pump and reset when the play appears not to develop as he expected. Able to buy himself time and move his launch point when needed. Willing to stand in and take punishment when he gets locked in on the throw. Gets hips squared to the target on rollout throws. Steps into drive throws between the hashes and puts it on-frame. Allows routes to develop and throws with timing into zone windows. Hits receivers in stride and leads them into yards after the catch. Consistently accurate when he throws from a balanced platform.,Spacing and clearly defined route combinations make decision-making easier. Drops beyond proper pocket depth and into edge rusher’s path. Throws with a longer operation time. Has completions on tape that will be interceptions in the pros. Inconsistent bringing his lower half through his delivery. Needs to become OK with taking profits and moving on. Appears too confident in his off-platform game despite a lack of zip. Doesn’t offer up much escapability quickness from the pocket. Much too willing to take a big sack instead of throwing it away.,
2025,Jaxson Dart,"Three-year SEC starter who saw improvement in play and production season after season. Dart has a stocky build and average physical attributes but good makeup and intangibles. He’s fairly accurate and rarely overcomplicates things for himself. He won’t strike anyone as a running quarterback, but he can find tough yards on the ground. He can make full-field reads but looks more comfortable grazing from the trough of the simple. He will need to work with better anticipation and decisiveness to win in tight windows as a pro. Teams might see physical and play similarities between Dart and Brock Purdy but such a pathway for Dart likely requires a balanced, ball-control passing attack that allows him to manage the game instead of driving it.",Gets across the full field of progressions when he needs to. Pretty good situational decision-maker on third downs. Throws with adequate accuracy and drive velocity between the hashes. Recognizes potential trouble and gets away from it. Beats man coverage when making predetermined throws. Very accurate with his back-shoulder fades. Runs with early acceleration and vision in the open field. Uses altered snap counts to draw defense into committing pre-snap penalties.,Deep zone coverages slowed his momentum and consistency. Has room for improvement with anticipatory throws versus zone. Lazy footwork forces him into muscled throws at times. Displayed inconsistencies with decisiveness in his reads. Lacks delivery quickness to afford getting behind on progressions. Throws feel very labored when he’s forced to work off-platform. Deep throws lack energy and force receivers to break stride.,
2025,Jalen Milroe,"Milroe is an explosive athlete who is very capable outside the pocket, but he lacks accuracy, touch and decision-making when he’s inside the pocket. A lack of anticipation and timing leads to interceptions and contested throws to intermediate areas of the field. He has an NFL arm, but he might need to fine-tune his footwork and delivery to improve accuracy on all three levels. He can get through his reads when he’s confident and feels protected but becomes predictable and easier for defenses to manipulate when he’s rattled. He’s built like a Will linebacker, runs like a receiver and is a threat to hit the home run on called runs and scrambles. Milroe was a much better deep-ball passer in 2023, but his 2024 regression makes it harder to project success from the pocket at a high enough rate to become a capable NFL starter. A strong arm and elite speed will have teams intrigued, but if he doesn’t make it as a starter, it’s incumbent upon his team to find a way to get the ball in his hands with packaged plays.","Unflinching when he delivers throws in the face of imminent contact. Has NFL arm strength, delivering drive throws with velocity. Ball comes out in a split second if he needs it to. Accuracy improves when he minds his weight transfer. 2023 tape shows a more consistent deep-ball passer. Good things happen as a passer when rolling out to his right. Finished career with 33 rushing TDs, including 20 in 2024. Back-breaking scrambler when defense loses lane integrity.",Threw five touchdowns and 10 interceptions in 2024 SEC play. Hurried and lacking rhythm when working from the pocket. Processing and decision-making are troubling at times. Struggles to make anticipatory throws. Success rate plummets when forced to come off primary option. Fires hard-to-catch rockets at underneath targets. Sails deep-outs and forces crossing routes to break stride to catch it. Slow to feel mounting pressure and takes too many sacks. Inconsistent trajectory on intermediate and deep-touch throws.,
2025,Will Howard,"Howard brings outstanding size and toughness to the table. He showed good improvement over the last three seasons. He is more a vessel of the play-caller than a playmaking talent, though. He typically reads half the field and makes reasonable decisions with the football, using good mechanics and consistent accuracy. He doesn’t hold defenders at bay with his eyes and lacks the arm strength to beat tight man coverage on second- and third-level throws. He showed good poise in 2024 to beat the blitz through the air and has always been able to escape pressure by making plays with his legs. Howard is big, tough and accurate but benefited from superior talent at the skill positions at Ohio State. Unless he proves he can play chess against NFL defenses, he might not have enough in the tool box to become more than an average backup.","Outstanding size and toughness inside and outside the pocket. Elevated his consistency and performance in the postseason. Can work off-platform with relative ease and efficiency. Throws from a grounded base with good mechanics and repeatable delivery. Delivers the ball with consistent accuracy to the frame. Able to buy time for routes to develop when pressured. Has poise, accuracy and touch to beat a blitzing defense. Uses legs on zone-read and for short-yardage carries.",Very gradual in his setup and release on three-step drops and RPOs. Can be mechanical and predictable from the pocket. Will struggle to beat NFL corners when throwing outside the numbers or into tight windows. Not enough eye manipulation to keep defenders guessing. Content with half-field reads instead of getting through his progressions. Had some contested throws bailed out by receivers’ ball skills.,
2025,Kyle McCord,"Pocket passer with good size who played in a high-volume, pro-passing scheme that should give him a head start as a pro. McCord was too inconsistent at Ohio State, relative to the talent around him, but he proved to be confident and productive last season at Syracuse without that same level of supporting talent. His fundamentals are usually solid and he plays with adequate poise in the face of pressure. He has enough arm to make window throws and push the ball around the field. McCord seeks to attack coverages vertically instead of operating as a “Checkdown Charlie.” While he can hit chunk throws, his decision-making and ball placement aren’t always good fits for his gunslinger mentality. His mobility inside and outside the pocket is average. McCord has good size, adequate talent and commendable resilience. He could find a home as a backup quarterback with modest upside.",Allows routes to breathe and mature when necessary. Reads coverage and progressions high to low when possible. Good feel for buying time and beating the blitz. Pretty good poise to manage unblocked pressure closing in. Arm strength to deliver deep-outs to the field side. Throws a catchable deep fade with adequate placement.,Below-average twitch to get the ball out quickly when needed. Tight trunk makes it tough to square and deliver on rollouts. Slower operation time allows corners to pounce and close his windows. Throws back into the middle of the field (and traffic) when scrambling. Average feel for placing throws between leveled coverage. Inconsistent to lead moving targets with his ball placement. Too willing to throw at a covered target despite lurking coverage. Allows edge pressure to close and sack him without climbing.,
2025,Tyler Shough,"Pocket passer with a seven-year college career prompted by three consecutive years of injuries while at Texas Tech. Shough will turn 26 in September, was in the same recruiting class as Trevor Lawrence and backed up Justin Herbert at Oregon. He’s a talented passer with a live arm who is capable of making pro throws both intermediate and deep but battles inconsistency. He plays with good field vision, using his eyes to hold defenders and set up his throwing windows. Shough is confident and accurate when protected, but will flinch when pressure mounts, leading to spotty decision-making and big sacks. His size and passing talent will be enticing, but durability and mobility concerns are impediments he will need to overcome.",Displays good command and full-field passing talent when protected. Adequate timing getting through his progressions. Effective use of eyes to hold linebackers and safeties. Splashy arm talent throws are all over his tape. Can sit down and crank up drive throws when needed. Pushes deep ball with effortless release and flick of the wrist. More naturally accurate thrower than stats might indicate. Can come off his primary target suddenly after spotting danger.,"Sluggish operation time working quick-game throws. Lacks poise and mobility to overcome turbulent pockets. Occasional issues allowing routes to unwind and develop. Falls way off delivery when pressure is mounting in front of him. Gunslinger mentality brings occasional lapses in decision-making. Not enough “extend and win” when flushed from the pocket. Missed substantial time due to injury in 2021, 2022 and 2023.",
2025,Quinn Ewers,"Ewers' arm talent and game flashes are enticing, but he hasn’t learned to play the game with a high enough level of consistency. The tape of road wins over Alabama and Michigan over the last two seasons showed the clearest picture of Ewers’ ceiling. He spins it with a sudden release and good touch over the first two levels and makes it look easy when he finds a rhythm. He won a high percentage of his career starts but struggled to put points on the board in most big games in 2024. Ewers rarely operates as a smooth, full-field reader. He often predetermines his target and throws into coverage instead of taking what the defense is offering. A lack of escapability will require him to process quickly enough to stay ahead of NFL blitz packages. The raw talent and upside will be alluring for pro-style passing attacks, but it’s fair to wonder if he will ever be able to rise above the talent on his roster and the ability of his play-caller to create favorable terms.",Displays willingness to go out and compete through pain. Performances in road games at Alabama (2023) and Michigan (2024) stand out. Makes it look easy when he’s working in rhythm. Arm talent to make trick-shot throws from a variety of angles. Gets the ball out in a hurry with just the flick of his wrist. Showed good pocket mobility to slide and deliver in 2023. Has games where footwork is clean and delivery is sharp. Capable of making touch throws from off-platform. Throws with consistent accuracy on boot-action rollouts.,"Can be fooled from pre-snap to post-snap looks by defense. Needs better eye manipulation to hold safeties and linebackers. Gets stuck on first read, regardless of coverage. Stares at primary receivers and will throw them into collisions. Lazy footwork forces receivers to break stride to make the catch. Will throw late and put too much air under some downfield throws. Must improve his feel and response to edge pressure.",
2025,Dillon Gabriel,"Gabriel is an older and smaller QB prospect, but he offers a tremendous amount of game experience and productivity. He operates with poise and confidence from the pocket. His field vision is average, but he typically takes care of the football. He’s capable of playing within the confines of an offense and can create yards with his legs as needed. Gabriel’s accuracy and timing is accurate on shorter throws, but the placement becomes erratic when pushed outside of his comfortable range. He might require a ball-control passing game to help manage his lack of arm talent and keep him from throwing into closing windows. He’s an effective scrambler who is able to elude pressure and make plays outside of the pocket. Gabriel requires a very specific offensive fit, but he’s a gamer with enough good tape to have a chance to become a decent backup.","Consistent production throughout his career. Elite total touchdown numbers, with 189 scores over 64 games. Has developed a decent feel for where to go with the football. Trusts his protection and rarely appears jittery in the pocket. Throws with good touch and natural operation. Equally capable with arm or legs when he exits the pocket. Dual-threat potential becomes elevated on third downs or near the end zone.","Lacks prototypical size for the position. Passing scheme allows him to work into big, defined windows. Vast majority of 2024 targets were inside of 10 yards, including 25% behind the line, per PFF. Average quickness getting through full-field scans. Sits on intermediate targets too long with his eyes. Ball placement and accuracy isn’t as good as it looks on paper. Lacks arm strength to lead receivers on deep shots off play-action. Deep-out and deep-seam throws lose their energy.",
2025,Riley Leonard,"Leonard has adequate size and is an above-average competitor with good toughness. However, he fails to hit the mark as a pro-caliber passer. He’s a dual-threat quarterback who falls more firmly on the side of grit than gifted. He can make controlled throws inside his comfort level, but his accuracy and timing dip when he has to work beyond primary reads. He’s relatively careful with the football in the red area and in the face of pressure. He can move the sticks with his legs on called runs or when pressured. Leonard is average as a field-reader and doesn’t have enough arm to beat NFL defenders on seam throws or outside the numbers. He needs a solid running game and advantages at the skill positions to function on a pro level, but even then his play might be more dependent on his legs than his eyes and arm.",Adequate size with above-average poise and toughness. Took great care of the football in the red zone over the last two seasons. Identifies safety and proceeds accordingly in early stages. Slides and climbs the pocket to elude and deliver. Won’t make many costly mistakes when blitzed. Mobility to exit the pocket and hurt defenses with his legs. Gritty runner with good success rate on short-yardage carries.,"Needs more muscle mass to continue making plays on the run in the pros. Slow operation time from setup to delivery on RPOs and three-step drops. Not enough arm talent for impromptu, off-platform throws. Accuracy and ball placement are too dependent on throw type. Struggles beating coverage into windows beyond the first level. Disappointing conversion rate as a third-down passer. Deep throws come up short and force receivers to break stride.",
